Test (2C): unreliable agreement ...
003291 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:-1
006780 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:2
006781 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 1
006801 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
006802 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
006813 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
006813 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
006814 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:2，lastterm:0,lastlogindex:0
006825 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
006825 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
006836 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
006837 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
006837 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
006837 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
006837 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
006838 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:1,我的任期:2，lastterm:0,lastlogindex:0
006838 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
006872 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:0,我的任期:1，lastterm:0,lastlogindex:0
006874 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:0
006934 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:1,我的任期:1，lastterm:0,lastlogindex:0
006936 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
006946 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:1,我的任期:1，lastterm:0,lastlogindex:0
006948 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:2，lastterm:0,lastlogindex:0
006949 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
006949 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
006990 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:2，lastterm:0,lastlogindex:0
007001 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:0,我的任期:2，lastterm:0,lastlogindex:0
007027 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:2，lastterm:0,lastlogindex:0
009982 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:0,我的voteFor:1
009984 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 2
009997 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
010010 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
010022 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
010034 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
010034 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
010035 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
010047 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:2，lastterm:0,lastlogindex:0
010049 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:3
010147 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:1,我的任期:2，lastterm:0,lastlogindex:0
010149 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:3
010198 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:0,我的任期:2，lastterm:0,lastlogindex:0
010200 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:3
010221 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:1,我的任期:2，lastterm:0,lastlogindex:0
010223 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:3
013238 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:1,我的voteFor:3
013239 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 3
013251 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
013262 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
013274 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
013286 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
013287 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
013287 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
013349 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:0,我的任期:3，lastterm:0,lastlogindex:0
013351 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:3
013372 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:3，lastterm:0,lastlogindex:0
013374 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:3
013455 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:0,我的任期:3，lastterm:0,lastlogindex:0
013455 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:3，lastterm:0,lastlogindex:0
013456 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:3
013456 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:3
016372 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:1,我的voteFor:3
016374 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 4
016388 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
016402 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
016417 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
016418 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:0,我的任期:4，lastterm:0,lastlogindex:0
016420 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:3
016431 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
016431 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
016432 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
016462 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:3
016462 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 4
016476 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
016489 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
016503 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
016516 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
016517 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
016517 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
016540 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:1,我的任期:5，lastterm:0,lastlogindex:0
016540 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:0,我的任期:4，lastterm:0,lastlogindex:0
016541 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:2
016564 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:5，lastterm:0,lastlogindex:0
016588 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:0,我的任期:5，lastterm:0,lastlogindex:0
016671 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:4，lastterm:0,lastlogindex:0
016672 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:3
016705 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:1,我的任期:5，lastterm:0,lastlogindex:0
016768 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:5，lastterm:0,lastlogindex:0
016862 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:0,我的任期:5，lastterm:0,lastlogindex:0
016987 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:5，lastterm:0,lastlogindex:0
019828 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:2
019829 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 5
019832 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:0,我的任期:5，lastterm:0,lastlogindex:0
019834 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器投票回复:1, 对方是否为我投票:true
019834 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:0
019853 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
019866 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
019868 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:1,我的任期:5，lastterm:0,lastlogindex:0
019869 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:0
019879 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
019879 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
019879 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
020018 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:1,我的任期:5，lastterm:0,lastlogindex:0
020019 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:0
020064 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:6，lastterm:0,lastlogindex:0
020066 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:0
020622 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:0,我的voteFor:3
020623 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 5
020637 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
020650 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
020663 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
020675 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
020675 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
020675 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
020678 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:0,我的任期:6，lastterm:0,lastlogindex:0
020854 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:6，lastterm:0,lastlogindex:0
020910 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:6，lastterm:0,lastlogindex:0
023083 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:0
023085 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 6
023099 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
023112 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
023124 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
023135 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
023136 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
023136 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
023189 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:0
023190 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 6
023203 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
023217 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
023219 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:6，lastterm:0,lastlogindex:0
023221 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
023229 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
023241 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
023241 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
023241 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
023243 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:0,我的任期:6，lastterm:0,lastlogindex:0
023245 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:2
023308 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:0,我的任期:7，lastterm:0,lastlogindex:0
023308 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:1,我的任期:7，lastterm:0,lastlogindex:0
023343 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:1,我的任期:6，lastterm:0,lastlogindex:0
023343 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:2
023374 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:7，lastterm:0,lastlogindex:0
023375 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:7，lastterm:0,lastlogindex:0
023428 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:1,我的任期:7，lastterm:0,lastlogindex:0
023461 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:7，lastterm:0,lastlogindex:0
023463 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:2
026397 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:1
026398 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 7
026411 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
026424 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
026437 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
026449 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
026449 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
026449 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
026450 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:1,我的任期:7，lastterm:0,lastlogindex:0
026451 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:0
026492 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:1,我的voteFor:1
026493 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 7
026505 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
026517 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
026530 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
026530 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:8，lastterm:0,lastlogindex:0
026542 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
026543 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
026543 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
026556 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:0,我的任期:7，lastterm:0,lastlogindex:0
026557 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:0
026567 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:1,我的任期:8，lastterm:0,lastlogindex:0
026579 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:7，lastterm:0,lastlogindex:0
026580 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
026665 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:8，lastterm:0,lastlogindex:0
026719 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:8，lastterm:0,lastlogindex:0
026719 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:8，lastterm:0,lastlogindex:0
029988 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:0
029990 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 8
030011 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
030023 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
030034 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:0,我的voteFor:1
030034 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 8
030035 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
030046 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
030047 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
030047 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
030047 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
030058 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
030070 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
030082 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
030083 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
030083 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
030083 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:8，lastterm:0,lastlogindex:0
030084 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:3
030095 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:1,我的任期:8，lastterm:0,lastlogindex:0
030096 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:2
030107 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:1,我的任期:8，lastterm:0,lastlogindex:0
030109 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:3
030173 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:0,我的任期:9，lastterm:0,lastlogindex:0
030186 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:9，lastterm:0,lastlogindex:0
030186 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:1,我的任期:9，lastterm:0,lastlogindex:0
030231 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:1,我的任期:9，lastterm:0,lastlogindex:0
030304 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:9，lastterm:0,lastlogindex:0
033136 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:1,我的voteFor:2
033137 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 9
033151 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
033164 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
033177 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
033190 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
033190 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
033190 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
033255 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:1,我的任期:9，lastterm:0,lastlogindex:0
033257 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:2
033309 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:3
033309 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 9
033309 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:2
033310 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 9
033309 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:0,我的任期:9，lastterm:0,lastlogindex:0
033322 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
033324 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
033335 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
033335 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
033336 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:9，lastterm:0,lastlogindex:0
033337 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:2
033348 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
033349 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
033361 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
033361 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
033361 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
033361 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
033361 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
033361 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
033362 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
